,precision,recall,f1-score,support
defensive,0.40454545454545454,0.23733333333333334,0.2991596638655462,375.0
dynamic,0.328125,0.14823529411764705,0.20421393841166938,425.0
positional,0.4420358152686145,0.6661931818181818,0.5314447592067989,704.0
tactical,0.4,0.4256198347107438,0.4124124124124124,484.0
accuracy,0.41599597585513076,0.41599597585513076,0.41599597585513076,0.41599597585513076
macro avg,0.3936765674535173,0.36934541099497653,0.36180769347410674,1988.0
weighted avg,0.4003777084525403,0.41599597585513076,0.38869241240630453,1988.0
