,precision,recall,f1-score,support
defensive,0.308300395256917,0.208,0.2484076433121019,375.0
dynamic,0.30275229357798167,0.15529411764705883,0.2052877138413686,425.0
positional,0.41911069063386946,0.6292613636363636,0.5031232254400908,704.0
tactical,0.35,0.33264462809917356,0.3411016949152542,484.0
accuracy,0.3762575452716298,0.3762575452716298,0.3762575452716298,0.3762575452716298
macro avg,0.345040844867192,0.331300027345649,0.32448006937720386,1988.0
weighted avg,0.356507192755649,0.3762575452716298,0.3519578046647016,1988.0
