,precision,recall,f1-score,support
defensive,0.40816326530612246,0.16,0.22988505747126436,375.0
dynamic,0.3695652173913043,0.04,0.07218683651804671,425.0
positional,0.4257659073055774,0.7698863636363636,0.5483055134041477,704.0
tactical,0.3831417624521073,0.4132231404958678,0.3976143141153082,484.0
accuracy,0.4119718309859155,0.4119718309859155,0.4119718309859155,0.4119718309859155
macro avg,0.3966590381137779,0.34577737603305786,0.3119979303771917,1988.0
weighted avg,0.4000534475105869,0.4119718309859155,0.3497679635514201,1988.0
