,precision,recall,f1-score,support
defensive,0.3409090909090909,0.2,0.25210084033613445,375.0
dynamic,0.323943661971831,0.10823529411764705,0.16225749559082892,425.0
positional,0.43022222222222223,0.6875,0.5292509568069984,704.0
tactical,0.36726546906187624,0.38016528925619836,0.37360406091370557,484.0
accuracy,0.39688128772635817,0.39688128772635817,0.39688128772635817,0.39688128772635817
macro avg,0.3655851110412551,0.34397514584346134,0.32930333841191683,1988.0
weighted avg,0.3753269099091196,0.39688128772635817,0.36062087013406086,1988.0
