,precision,recall,f1-score,support
defensive,0.3111111111111111,0.4,0.35,210.0
dynamic,0.48,0.22857142857142856,0.3096774193548387,210.0
positional,0.33695652173913043,0.5904761904761905,0.4290657439446367,210.0
tactical,0.37254901960784315,0.18095238095238095,0.24358974358974358,210.0
accuracy,0.35,0.35,0.35,0.35
macro avg,0.37515416311452116,0.35000000000000003,0.3330832267223047,840.0
weighted avg,0.37515416311452116,0.35,0.3330832267223047,840.0
