,precision,recall,f1-score,support
defensive,0.3532608695652174,0.17333333333333334,0.23255813953488372,375.0
dynamic,0.36507936507936506,0.10823529411764705,0.16696914700544466,425.0
positional,0.42464612822647796,0.7244318181818182,0.5354330708661418,704.0
tactical,0.389937106918239,0.384297520661157,0.3870967741935484,484.0
accuracy,0.4059356136820926,0.4059356136820926,0.4059356136820926,0.4059356136820926
macro avg,0.3832308674473248,0.3475744915734889,0.3305142829000046,1988.0
weighted avg,0.3899959709585286,0.4059356136820926,0.36341595090660794,1988.0
