date,close
2015-01-01,39.31694412231445
2015-01-08,39.087337493896484
2015-01-15,39.05329513549805
2015-01-22,35.03060531616211
2015-01-29,35.58340835571289
2015-02-05,36.04265213012695
2015-02-12,37.02069854736328
2015-02-19,37.67815399169922
2015-02-26,36.8815803527832
2015-03-05,35.956546783447266
2015-03-12,36.40193176269531
2015-03-19,35.511165618896484
2015-03-26,34.877342224121094
2015-04-02,35.47690200805664
2015-04-09,36.196372985839844
2015-04-16,36.82162857055664
2015-04-23,42.020694732666016
2015-04-30,39.63955307006836
2015-05-07,40.795860290527344
2015-05-14,40.75303649902344
2015-05-21,41.043758392333984
2015-05-28,40.388572692871094
2015-06-04,40.18168258666992
2015-06-11,39.62992858886719
2015-06-18,39.345455169677734
2015-06-25,38.31958770751953
2015-07-02,38.13853454589844
2015-07-09,39.44890213012695
2015-07-16,39.25925064086914
2015-07-23,39.90580749511719
2015-07-30,41.01788330078125
2015-08-06,40.293739318847656
2015-08-13,40.18168258666992
2015-08-20,37.06235122680664
2015-08-27,37.626399993896484
2015-09-03,37.3747444152832
2015-09-10,38.442100524902344
2015-09-17,38.0689582824707
2015-09-24,38.40739059448242
2015-10-01,40.61151123046875
2015-10-08,40.507389068603516
2015-10-15,40.9586296081543
2015-10-22,46.84208679199219
2015-10-29,47.206539154052734
2015-11-05,46.555728912353516
2015-11-12,46.729286193847656
2015-11-19,46.90446472167969
2015-11-26,48.23237228393555
2015-12-03,48.031436920166016
2015-12-10,49.03608703613281
2015-12-17,48.76527786254883
2015-12-24,49.193355560302734
2015-12-31,47.218971252441406
2016-01-07,45.11355972290039
2016-01-14,44.37097930908203
2016-01-21,44.74664306640625
2016-01-28,45.56783676147461
2016-02-04,43.42747116088867
2016-02-11,45.794986724853516
2016-02-18,45.19111251831055
2016-02-25,46.59012222290039
2016-03-03,46.49333953857422
2016-03-10,47.82196807861328
2016-03-17,47.487613677978516
2016-03-24,48.43790054321289
2016-03-31,48.499481201171875
2016-04-07,48.70186233520508
2016-04-14,48.91304397583008
2016-04-21,44.82154846191406
2016-04-28,43.88006591796875
2016-05-05,44.9183349609375
2016-05-12,44.7071647644043
2016-05-19,46.18058395385742
2016-05-26,46.827392578125
2016-06-02,46.10968780517578
2016-06-09,44.027496337890625
2016-06-16,45.17934799194336
2016-06-23,44.780635833740234
2016-06-30,45.524906158447266
2016-07-07,47.41217041015625
2016-07-14,49.53868865966797
2016-07-21,49.786766052246094
2016-07-28,50.47788619995117
2016-08-04,51.40823745727539
2016-08-11,51.000667572021484
2016-08-18,51.666229248046875
2016-08-25,51.229366302490234
2016-09-01,51.40768051147461
2016-09-08,50.159488677978516
2016-09-15,51.49685287475586
2016-09-22,51.737552642822266
2016-09-29,51.38985061645508
2016-10-06,50.91730880737305
2016-10-13,51.291778564453125
2016-10-20,54.05562973022461
2016-10-27,52.985748291015625
2016-11-03,53.64551544189453
2016-11-10,53.18189239501953
2016-11-17,54.21435546875
2016-11-24,54.08870315551758
2016-12-01,55.08502197265625
2016-12-08,56.260860443115234
2016-12-15,57.03280258178711
2016-12-22,56.53911590576172
2016-12-29,55.91977310180664
2017-01-05,56.7186279296875
2017-01-12,56.099308013916016
2017-01-19,57.15845489501953
2017-01-26,57.06869125366211
2017-02-02,56.8532829284668
2017-02-09,57.92140197753906
2017-02-16,58.11903381347656
2017-02-23,58.64280700683594
2017-03-02,58.68794250488281
2017-03-09,58.47123336791992
2017-03-16,58.724063873291016
2017-03-23,59.12141418457031
2017-03-30,59.202659606933594
2017-04-06,58.90467834472656
2017-04-13,58.73310089111328
2017-04-20,61.2525520324707
2017-04-27,62.381324768066406
2017-05-04,62.589027404785156
2017-05-11,60.93650817871094
2017-05-18,62.45734405517578
2017-05-25,63.42914962768555
2017-06-01,65.74508666992188
2017-06-08,63.81966018676758
2017-06-15,63.81966018676758
2017-06-22,63.392818450927734
2017-06-29,62.738922119140625
2017-07-06,64.61888885498047
2017-07-13,67.0801010131836
2017-07-20,67.25269317626953
2017-07-27,65.62699890136719
2017-08-03,65.8177261352539
2017-08-10,66.88941192626953
2017-08-17,66.39665985107422
2017-08-24,67.5744857788086
2017-08-31,67.01753997802734
2017-09-07,68.6701431274414
2017-09-14,68.4236068725586
2017-09-21,67.42839050292969
2017-09-28,68.19532775878906
2017-10-05,69.77493286132812
2017-10-12,70.86145782470703
2017-10-19,71.79277038574219
2017-10-26,75.94709777832031
2017-11-02,77.20710754394531
2017-11-09,75.76449584960938
2017-11-16,76.2643051147461
2017-11-23,76.47533416748047
2017-11-30,75.96147918701172
2017-12-07,78.31979370117188
2017-12-14,78.47579193115234
2017-12-21,78.65013122558594
2017-12-28,79.23741912841797
2018-01-04,80.5863265991211
2018-01-11,82.71524047851562
2018-01-18,84.2568588256836
2018-01-25,87.18411254882812
2018-02-01,82.22888946533203
2018-02-08,83.33004760742188
2018-02-15,84.34838104248047
2018-02-22,86.45043182373047
2018-03-01,86.53339385986328
2018-03-08,86.52418518066406
2018-03-15,85.26111602783203
2018-03-22,82.41232299804688
2018-03-29,85.12284088134766
2018-04-05,84.68952178955078
2018-04-12,88.91203308105469
2018-04-19,85.1043930053711
2018-04-26,86.21072387695312
2018-05-03,89.37297058105469
2018-05-10,89.56658935546875
2018-05-17,91.35298156738281
2018-05-24,91.6214828491211
2018-05-31,94.89932250976562
2018-06-07,93.38079071044922
2018-06-14,94.32525634765625
2018-06-21,90.31592559814453
2018-06-28,91.7140884399414
2018-07-05,94.42710876464844
2018-07-12,97.33453369140625
2018-07-19,102.62162017822266
2018-07-26,98.40861511230469
2018-08-02,101.38090515136719
2018-08-09,99.68640899658203
2018-08-16,99.51234436035156
2018-08-23,104.12264251708984
2018-08-30,100.8415298461914
2018-09-06,103.83452606201172
2018-09-13,103.82518768310547
2018-09-20,105.94448852539062
2018-09-27,107.05057525634766
2018-10-04,98.67577362060547
2018-10-11,102.9050064086914
2018-10-18,95.10650634765625
2018-10-25,99.27993774414062
2018-11-01,104.06688690185547
2018-11-08,97.5696792602539
2018-11-15,96.25483703613281
2018-11-22,103.73233032226562
2018-11-29,101.30516815185547
2018-12-06,101.82794189453125
2018-12-13,96.79627990722656
2018-12-20,93.8743667602539
2018-12-27,94.39715576171875
