source_file,main_player,player_color,opponent,event,site,date,year,round,white,black,white_elo,black_elo,result,result_label,player_result,eco,opening,num_plies,num_moves,captures,checks,castles,promotions,white_castled,black_castled,player_captures,player_checks,player_castled,player_promotions,opponent_captures,opponent_checks
Karpov.pgn,Karpov,black,"Hase, Juan C",Skopje ol (Men) fin-A,Skopje,1972.??.??,1972,14,"Hase, Juan C","Karpov, Anatoly",2200.0,2630.0,1/2-1/2,draw,draw,C22,,42,21.0,8,0,2,0,True,True,4,0,True,0,4,0
Karpov.pgn,Karpov,white,"Ungureanu, Emil",Skopje ol (Men) fin-A,Skopje,1972.??.??,1972,15,"Karpov, Anatoly","Ungureanu, Emil",2630.0,2410.0,1-0,white_win,win,B65,,57,28.5,13,2,2,0,True,True,7,2,True,0,6,0
Karpov.pgn,Karpov,white,"Whiteley, Andrew J",EU-chT,Bath,1973.??.??,1973,1,"Karpov, Anatoly","Whiteley, Andrew J",2660.0,2340.0,1-0,white_win,win,B79,,63,31.5,14,2,2,0,True,True,7,1,True,0,7,1
Karpov.pgn,Karpov,black,"Ghizdavu, Dumitru",EU-chT,Bath,1973.??.??,1973,2,"Ghizdavu, Dumitru","Karpov, Anatoly",2450.0,2660.0,0-1,black_win,win,B93,,114,57.0,22,3,2,0,True,True,11,2,True,0,11,1
Karpov.pgn,Karpov,black,"Matanovic, Aleksandar",EU-chT,Bath,1973.??.??,1973,4,"Matanovic, Aleksandar","Karpov, Anatoly",2490.0,2660.0,1/2-1/2,draw,draw,C95,,53,26.5,6,0,2,0,True,True,3,0,True,0,3,0
Karpov.pgn,Karpov,white,"Schauwecker, Meinrad",EU-chT,Bath,1973.??.??,1973,5,"Karpov, Anatoly","Schauwecker, Meinrad",2660.0,,1-0,white_win,win,A33,,89,44.5,9,1,2,0,True,True,5,1,True,0,4,0
Karpov.pgn,Karpov,black,"Hecht, Hans Joachim",EU-chT,Bath,1973.??.??,1973,6,"Hecht, Hans Joachim","Karpov, Anatoly",2505.0,2660.0,1/2-1/2,draw,draw,C02,,85,42.5,20,2,2,0,True,True,11,0,True,0,9,2
Karpov.pgn,Karpov,white,"Ribli, Zoltan",EU-chT,Bath,1973.??.??,1973,7,"Karpov, Anatoly","Ribli, Zoltan",2660.0,2525.0,1-0,white_win,win,B52,,141,70.5,21,6,2,0,True,True,11,3,True,0,10,3
Karpov.pgn,Karpov,white,"Hecht, Hans Joachim",Tungsram Budapest,Budapest,1973.??.??,1973,1,"Karpov, Anatoly","Hecht, Hans Joachim",,,1/2-1/2,draw,draw,A29,,106,53.0,24,4,2,0,True,True,12,3,True,0,12,1
Karpov.pgn,Karpov,white,"Hort, Vlastimil",Tungsram Budapest,Budapest,1973.??.??,1973,2,"Karpov, Anatoly","Hort, Vlastimil",,,1-0,white_win,win,C06,,89,44.5,18,1,2,0,True,True,9,1,True,0,9,0
Karpov.pgn,Karpov,black,"Geller, Efim P",Tungsram Budapest,Budapest,1973.??.??,1973,3,"Geller, Efim P","Karpov, Anatoly",,,1/2-1/2,draw,draw,C95,,106,53.0,18,1,2,0,True,True,9,1,True,0,9,0
Karpov.pgn,Karpov,white,"Szabo, Laszlo",Tungsram Budapest,Budapest,1973.??.??,1973,4,"Karpov, Anatoly","Szabo, Laszlo",,,1/2-1/2,draw,draw,B53,,76,38.0,16,1,2,0,True,True,8,1,True,0,8,0
Karpov.pgn,Karpov,black,"Ciocaltea, Victor",Tungsram Budapest,Budapest,1973.??.??,1973,5,"Ciocaltea, Victor","Karpov, Anatoly",,,1/2-1/2,draw,draw,A04,,23,11.5,2,0,2,0,True,True,1,0,True,0,1,0
Karpov.pgn,Karpov,white,"Lengyel, Levente",Tungsram Budapest,Budapest,1973.??.??,1973,6,"Karpov, Anatoly","Lengyel, Levente",,,1/2-1/2,draw,draw,C94,,97,48.5,18,8,2,0,True,True,9,1,True,0,9,7
Karpov.pgn,Karpov,black,"Antoshin, Vladimir S",Tungsram Budapest,Budapest,1973.??.??,1973,7,"Antoshin, Vladimir S","Karpov, Anatoly",,,1/2-1/2,draw,draw,E18,,32,16.0,10,0,2,0,True,True,5,0,True,0,5,0
Karpov.pgn,Karpov,white,"Sax, Gyula",Tungsram Budapest,Budapest,1973.??.??,1973,8,"Karpov, Anatoly","Sax, Gyula",,,1-0,white_win,win,E64,,83,41.5,12,1,2,0,True,True,6,1,True,0,6,0
Karpov.pgn,Karpov,black,"Forintos, Gyozo V",Tungsram Budapest,Budapest,1973.??.??,1973,9,"Forintos, Gyozo V","Karpov, Anatoly",,,1/2-1/2,draw,draw,D37,,127,63.5,27,4,2,0,True,True,13,2,True,0,14,2
Karpov.pgn,Karpov,white,"Adorjan, Andras",Tungsram Budapest,Budapest,1973.??.??,1973,10,"Karpov, Anatoly","Adorjan, Andras",,,1-0,white_win,win,D91,,85,42.5,23,5,1,0,False,True,12,0,False,0,11,5
Karpov.pgn,Karpov,black,"Ribli, Zoltan",Tungsram Budapest,Budapest,1973.??.??,1973,11,"Ribli, Zoltan","Karpov, Anatoly",,,1/2-1/2,draw,draw,B49,,177,88.5,27,23,2,0,True,True,14,10,True,0,13,13
Karpov.pgn,Karpov,white,"Vaganian, Rafael A",Tungsram Budapest,Budapest,1973.??.??,1973,12,"Karpov, Anatoly","Vaganian, Rafael A",,,1-0,white_win,win,C09,,118,59.0,22,13,2,0,True,True,12,4,True,0,10,9
Karpov.pgn,Karpov,black,"Bilek, Istvan",Tungsram Budapest,Budapest,1973.??.??,1973,13,"Bilek, Istvan","Karpov, Anatoly",,,1/2-1/2,draw,draw,A36,,28,14.0,8,0,2,0,True,True,4,0,True,0,4,0
Karpov.pgn,Karpov,white,"Csom, Istvan",Tungsram Budapest,Budapest,1973.??.??,1973,14,"Karpov, Anatoly","Csom, Istvan",,,1/2-1/2,draw,draw,B53,,84,42.0,19,4,1,0,True,False,9,3,True,0,10,1
Karpov.pgn,Karpov,black,"Velimirovic, Dragoljub",Tungsram Budapest,Budapest,1973.??.??,1973,15,"Velimirovic, Dragoljub","Karpov, Anatoly",,,1/2-1/2,draw,draw,C98,,39,19.5,0,0,2,0,True,True,0,0,True,0,0,0
Karpov.pgn,Karpov,black,"Estevez, Guillermo",Leningrad Interzonal,Leningrad,1973.??.??,1973,1,"Estevez, Guillermo","Karpov, Anatoly",2385.0,2645.0,0-1,black_win,win,D58,,111,55.5,19,1,2,0,True,True,10,0,True,0,9,1
Karpov.pgn,Karpov,white,"Huebner, Robert",Leningrad Interzonal,Leningrad,1973.??.??,1973,2,"Karpov, Anatoly","Huebner, Robert",2645.0,2600.0,1/2-1/2,draw,draw,B42,,81,40.5,19,3,2,0,True,True,9,3,True,0,10,0
Karpov.pgn,Karpov,black,"Tukmakov, Vladimir B",Leningrad Interzonal,Leningrad,1973.??.??,1973,3,"Tukmakov, Vladimir B","Karpov, Anatoly",2560.0,2645.0,0-1,black_win,win,C95,,66,33.0,14,2,2,0,True,True,7,1,True,0,7,1
Karpov.pgn,Karpov,white,"Kortschnoj, Viktor",Leningrad Interzonal,Leningrad,1973.??.??,1973,4,"Karpov, Anatoly","Kortschnoj, Viktor",2645.0,2635.0,1/2-1/2,draw,draw,B08,,36,18.0,2,0,2,0,True,True,1,0,True,0,1,0
Karpov.pgn,Karpov,black,"Taimanov, Mark E",Leningrad Interzonal,Leningrad,1973.??.??,1973,5,"Taimanov, Mark E","Karpov, Anatoly",2595.0,2645.0,1/2-1/2,draw,draw,E46,,79,39.5,18,0,2,0,True,True,9,0,True,0,9,0
Karpov.pgn,Karpov,black,"Cuellar Gacharna, Miguel",Leningrad Interzonal,Leningrad,1973.??.??,1973,6,"Cuellar Gacharna, Miguel","Karpov, Anatoly",2400.0,2645.0,0-1,black_win,win,A31,,111,55.5,16,2,2,0,True,True,9,1,True,0,7,1
Karpov.pgn,Karpov,white,"Kuzmin, Gennadi P",Leningrad Interzonal,Leningrad,1973.??.??,1973,7,"Karpov, Anatoly","Kuzmin, Gennadi P",2645.0,2565.0,1-0,white_win,win,C09,,77,38.5,15,1,2,0,True,True,8,0,True,0,7,1
Karpov.pgn,Karpov,black,"Tal, Mihail",Leningrad Interzonal,Leningrad,1973.??.??,1973,8,"Tal, Mihail","Karpov, Anatoly",2655.0,2645.0,1/2-1/2,draw,draw,C95,,94,47.0,19,0,2,0,True,True,10,0,True,0,9,0
Karpov.pgn,Karpov,white,"Quinteros, Miguel A",Leningrad Interzonal,Leningrad,1973.??.??,1973,9,"Karpov, Anatoly","Quinteros, Miguel A",2645.0,2480.0,1-0,white_win,win,B97,,73,36.5,14,3,2,0,True,True,8,2,True,0,6,1
Karpov.pgn,Karpov,black,"Larsen, Bent",Leningrad Interzonal,Leningrad,1973.??.??,1973,10,"Larsen, Bent","Karpov, Anatoly",2620.0,2645.0,1/2-1/2,draw,draw,A36,,42,21.0,10,0,2,0,True,True,5,0,True,0,5,0
Karpov.pgn,Karpov,white,"Byrne, Robert E",Leningrad Interzonal,Leningrad,1973.??.??,1973,11,"Karpov, Anatoly","Byrne, Robert E",2645.0,2570.0,1/2-1/2,draw,draw,B92,,42,21.0,9,0,2,0,True,True,4,0,True,0,5,0
Karpov.pgn,Karpov,black,"Uhlmann, Wolfgang",Leningrad Interzonal,Leningrad,1973.??.??,1973,12,"Uhlmann, Wolfgang","Karpov, Anatoly",2550.0,2645.0,0-1,black_win,win,D42,,90,45.0,14,0,2,0,True,True,8,0,True,0,6,0
